Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Cost per item,Status
boy-storybook-friends-winter-tracksuit,Storybook Friends Winter Tracksuit Set,"<p>A magical winter essential! Features beloved animated character illustrations in vivid outline sketches with a bold textured fuzzy chest appliqué, paired with all-over printed cozy fleece bottoms.</p><ul><li>Fabric: 100% Breathable Winter Fleece Cotton</li><li>Set Includes: Character Crewneck + Matching Jogger Pyjamas</li><li>Features: Ribbed neckband, stretch waistband & ankles</li><li>Care: Machine Wash Cold</li></ul>",Meeeku,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,Boys Winterwear,"Boys, Winterwear, Tracksuit, Storybook Friends, Character, Fleece, 1-2Y, 2-3Y, 3-4Y, 4-5Y, 5-6Y",TRUE,Size,1-2Y,,,,,MEEK-B-WIN-TOY-1-2Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_boy_storybook_friends_winter_set.jpg,1,Storybook Friends Winter Tracksuit Set - Flatlay,FALSE,Storybook Friends Winter Tracksuit Set - Meeeku,"Shop Storybook Friends Winter Tracksuit Set at Meeeku. 100% skin-safe, zero-itch guarantee.",Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_boy_storybook_friends_winter_set.jpg,g,420.00,active
boy-storybook-friends-winter-tracksuit,,,,,,,,Size,2-3Y,,,,,MEEK-B-WIN-TOY-2-3Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_boy_storybook_friends_winter_set_alt.jpg,2,Storybook Friends Winter Tracksuit Set - Closeup View,,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_boy_storybook_friends_winter_set_alt.jpg,g,420.00,active
boy-storybook-friends-winter-tracksuit,,,,,,,,Size,3-4Y,,,,,MEEK-B-WIN-TOY-3-4Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,420.00,active
boy-storybook-friends-winter-tracksuit,,,,,,,,Size,4-5Y,,,,,MEEK-B-WIN-TOY-4-5Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,420.00,active
boy-storybook-friends-winter-tracksuit,,,,,,,,Size,5-6Y,,,,,MEEK-B-WIN-TOY-5-6Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,420.00,active
girl-minnie-hearts-fleece-tracksuit,Minnie Hearts Fleece Tracksuit Set,"<p>Adorable Disney charm! Designed in heathered oatmeal pink with all-over pink Minnie icon and heart prints, featuring a bright fuchsia textured chenille appliqué and matching cozy joggers.</p><ul><li>Fabric: 100% Brushed Cotton Winter Fleece</li><li>Set Includes: Minnie Crewneck Sweatshirt + Jogger Trousers</li><li>Features: Textured 3D chenille typography & pink drawcord</li><li>Care: Machine Wash Cold Inside Out</li></ul>",Meeeku,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,Girls Winterwear,"Girls, Winterwear, Tracksuit, Minnie, Disney, Hearts, Pink, Fleece, 1-2Y, 2-3Y, 3-4Y, 4-5Y, 5-6Y",TRUE,Size,1-2Y,,,,,MEEK-G-WIN-MIN-1-2Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_hearts_winter_set.jpg,1,Minnie Hearts Fleece Tracksuit Set - Front View,FALSE,Minnie Hearts Fleece Tracksuit Set - Meeeku,"Shop Minnie Hearts Fleece Tracksuit Set at Meeeku. 100% skin-safe, zero-itch guarantee.",Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_hearts_winter_set.jpg,g,420.00,active
girl-minnie-hearts-fleece-tracksuit,,,,,,,,Size,2-3Y,,,,,MEEK-G-WIN-MIN-2-3Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_hearts_winter_set_alt.jpg,2,Minnie Hearts Fleece Tracksuit Set - Closeup View,,,,,Unisex,Kids,,New,FALSE,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_girl_minnie_hearts_winter_set_alt.jpg,g,420.00,active
girl-minnie-hearts-fleece-tracksuit,,,,,,,,Size,3-4Y,,,,,MEEK-G-WIN-MIN-3-4Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,420.00,active
girl-minnie-hearts-fleece-tracksuit,,,,,,,,Size,4-5Y,,,,,MEEK-G-WIN-MIN-4-5Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,420.00,active
girl-minnie-hearts-fleece-tracksuit,,,,,,,,Size,5-6Y,,,,,MEEK-G-WIN-MIN-5-6Y,180,shopify,35,deny,manual,1499.00,1899.00,TRUE,TRUE,,,,,,,,,Unisex,Kids,,New,FALSE,,g,420.00,active
